time;;Gb(i);Gd(i);Gr(i);H_sun;T2m;WS10m;Int
20180108:1410;;17.0;73.0;0.0;9.96;6.34;4.0;0.0
20180108:1510;;4.0;21.07;0.0;3.84;5.94;3.93;0.0
20180108:1610;;0.0;0.0;0.0;0.0;5.1;3.93;0.0
20180108:1710;;0.0;0.0;0.0;0.0;4.63;3.93;0.0
20180108:1810;;0.0;0.0;0.0;0.0;4.29;3.93;0.0
20180108:1910;;0.0;0.0;0.0;0.0;4.19;3.72;0.0
20180108:2010;;0.0;0.0;0.0;0.0;4.22;3.45;0.0
20180108:2110;;0.0;0.0;0.0;0.0;4.15;3.31;0.0
20180108:2210;;0.0;0.0;0.0;0.0;3.98;3.1;0.0
20180108:2310;;0.0;0.0;0.0;0.0;3.71;3.03;0.0
20180109:0010;;0.0;0.0;0.0;0.0;3.48;3.03;0.0
20180109:0110;;0.0;0.0;0.0;0.0;3.37;2.97;0.0
20180109:0210;;0.0;0.0;0.0;0.0;3.11;3.03;0.0
20180109:0310;;0.0;0.0;0.0;0.0;3.04;3.1;0.0
20180109:0410;;0.0;0.0;0.0;0.0;2.91;2.97;0.0
20180109:0510;;0.0;0.0;0.0;0.0;2.91;2.48;0.0
20180109:0610;;0.0;0.0;0.0;0.0;2.67;2.28;0.0
20180109:0710;;0.0;0.0;0.0;0.0;2.52;1.93;0.0
20180109:0810;;0.0;6.0;0.0;3.15;2.32;2.07;0.0
20180109:0910;;8.0;64.0;0.0;9.46;3.06;1.93;0.0
20180109:1010;;1.0;78.0;0.0;14.03;4.75;1.72;0.0
20180109:1110;;1.0;95.0;0.0;16.52;6.51;2.07;0.0
20180109:1210;;0.0;67.0;0.0;16.66;7.79;1.93;0.0
20180109:1310;;0.0;36.0;0.0;14.46;8.4;2.07;0.0
20180109:1410;;0.0;44.0;0.0;10.12;8.44;2.62;0.0
20180109:1510;;20.0;15.95;0.0;4.01;8.13;2.9;0.0
20180109:1610;;0.0;0.0;0.0;0.0;7.72;3.17;0.0
20180109:1710;;0.0;0.0;0.0;0.0;7.53;3.59;0.0
20180109:1810;;0.0;0.0;0.0;0.0;7.44;3.72;0.0
20180109:1910;;0.0;0.0;0.0;0.0;6.35;3.31;0.0
20180109:2010;;0.0;0.0;0.0;0.0;6.13;3.17;0.0
20180109:2110;;0.0;0.0;0.0;0.0;6.04;3.17;0.0
